amino_acid	abbrev 
G 	GLY 
A 	ALA 
S 	SER 
P 	PRO 
V 	VAL 
T 	THR 
C 	CYS 
L 	LEU 
I 	ILE 
N 	ASN 
D 	ASP 
Q 	GLN 
K 	LYS 
E 	GLU 
M 	MET 
H 	HIS 
F 	PHE 
U 	SEC 
R 	ARG 
Y 	TYR 
W 	TRP 
O 	PYL 
